L,det_minus,det_plus,det_plus_approx
100,101.80843210899033,41.00035486038709,4.3540765402013815
200,96.60339316925787,38.807239813248025,4.12087982501255
300,93.31127841822138,37.645076065336355,4.029754731752372
400,91.06818690780003,36.91646428007112,3.981671587227681
500,89.68132818207455,36.476994434563004,3.9543063006191717
600,88.38736749286706,36.09381562992021,3.934362816366419
700,87.47065566474778,35.825916195837536,3.920976173279715
800,86.60535293220872,35.584214864732424,3.9105506567003747
900,85.78985508489704,35.365244025981085,3.9024061257885925
1000,85.26312402407973,35.220845214531884,3.8966509102618376
1100,84.75773961341244,35.08659829985149,3.8919476698329265
1200,84.27263316494899,34.96130918010575,3.8881050745549888
1300,83.80691909337945,34.84411452225219,3.884988735578462
1400,83.5710413110737,34.77949551575628,3.882532611633981
1500,83.13315782679754,34.67375952135295,3.8804298080964648
1600,82.91218278449286,34.616106167828036,3.878665307633374
1700,82.5001897481766,34.520250391357706,3.877349367047632
1800,82.29262122245758,34.46827918824165,3.876097932161173
1900,82.08971444008048,34.41839249935379,3.8750397829520753
2000,81.89123497126646,34.370404192961544,3.874151203767767
